Reference, Value, Footprint, Datasheet
R4,0R02/5W,Resistors_SMD:R_2512_HandSoldering,
C19,1000µF,Capacitors_Elko_ThroughHole:Elko_vert_20x10mm_RM5,NA
C1,100nF,Capacitors_SMD:C_0603_HandSoldering,Farnell/HBE
C2,100nF,Capacitors_SMD:C_0603_HandSoldering,Farnell/HBE
C3,100nF,Capacitors_SMD:C_0603_HandSoldering,Farnell/HBE
C4,100nF,Capacitors_SMD:C_0603_HandSoldering,Farnell/HBE
C10,100nF,Capacitors_SMD:C_0805_HandSoldering,Farnell/HBE
C9,100nF,Capacitors_SMD:C_0805_HandSoldering,Farnell/HBE
C8,100nF,Capacitors_SMD:C_0805_HandSoldering,Farnell/HBE
C13,100nF,Capacitors_SMD:C_0805_HandSoldering,Farnell/HBE
C14,100nF,Capacitors_SMD:C_0805_HandSoldering,Farnell/HBE
C15,100nF,Capacitors_SMD:C_0805_HandSoldering,Farnell/HBE
C17,100nF,Capacitors_SMD:C_0805_HandSoldering,Farnell/HBE
C18,100nF,Capacitors_SMD:C_0805_HandSoldering,Farnell/HBE
L1,10µH,w_smd_inductors:inductor_smd_0805,Reichelt
R26,1k,Resistors_SMD:R_0805_HandSoldering,Reichelt
R28,1k,Resistors_SMD:R_0805_HandSoldering,Reichelt
R29,1k,Resistors_SMD:R_0805_HandSoldering,Reichelt
R30,1k,Resistors_SMD:R_0805_HandSoldering,Reichelt
R27,1k,Resistors_SMD:R_0805_HandSoldering,Reichelt
R25,1k,Resistors_SMD:R_0805_HandSoldering,Reichelt
R6,1k,Resistors_SMD:R_0603_HandSoldering,Reichelt
R11,1k,Resistors_SMD:R_0603_HandSoldering,Reichelt
R21,1k,Resistors_SMD:R_0603_HandSoldering,Reichelt
R22,1k5,Resistors_SMD:R_0805_HandSoldering,Reichelt
C11,220nF,Capacitors_SMD:C_0805_HandSoldering,
C12,220nF,Capacitors_SMD:C_0805_HandSoldering,
C16,220nF,Capacitors_SMD:C_0805_HandSoldering,
R1,220R,Resistors_SMD:R_0805_HandSoldering,Reichelt
R23,470R,Resistors_SMD:R_0805_HandSoldering,Reichelt
R5,47R,Resistors_SMD:R_0603_HandSoldering,Reichelt
R7,47R,Resistors_SMD:R_0603_HandSoldering,Reichelt
R8,47R,Resistors_SMD:R_0603_HandSoldering,Reichelt
R16,47R,Resistors_SMD:R_0603_HandSoldering,Reichelt
R20,47R,Resistors_SMD:R_0603_HandSoldering,Reichelt
R24,47R,Resistors_SMD:R_0603_HandSoldering,Reichelt
R9,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R12,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R14,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R17,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R18,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R19,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R15,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R13,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R10,4k7,Resistors_SMD:R_0805_HandSoldering,Reichelt
R3,680R,Resistors_SMD:R_0805_HandSoldering,Reichelt
C6,8pF,Capacitors_SMD:C_0805_HandSoldering,Reichelt
C7,8pF,Capacitors_SMD:C_0805_HandSoldering,Reichelt
IC1,ATMEGA88PA-A,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,Reichelt
D4,BAS21,w_smd_diode:sod123,Farnell/HBE
D5,BAS21,w_smd_diode:sod123,Farnell/HBE
D6,BAS21,w_smd_diode:sod123,Farnell/HBE
P2,Battery-,Wire_Pads:SolderWirePad_single_2mmDrill,NA
P1,Battery+,Wire_Pads:SolderWirePad_single_2mmDrill,NA
P3,Coil_A,Wire_Pads:SolderWirePad_single_2mmDrill,NA
P5,Coil_B,Wire_Pads:SolderWirePad_single_2mmDrill,NA
P6,Coil_C,Wire_Pads:SolderWirePad_single_2mmDrill,NA
Y1,Crystal_Small,w_crystal:crystal_smd_5x3.2mm,Seeed
P13,Gnd,Wire_Pads:SolderWirePad_single_0-8mmDrill,NA
U2,IR2104,w_smd_dil:so-8,Reichelt
U3,IR2104,w_smd_dil:so-8,Reichelt
U4,IR2104,w_smd_dil:so-8,Reichelt
Q1,IRL7843,w_smd_trans:d-pak,Farnell/HBE
Q2,IRL7843,w_smd_trans:d-pak,Farnell/HBE
Q3,IRL7843,w_smd_trans:d-pak,Farnell/HBE
Q4,IRL7843,w_smd_trans:d-pak,Farnell/HBE
Q5,IRL7843,w_smd_trans:d-pak,Farnell/HBE
Q6,IRL7843,w_smd_trans:d-pak,Farnell/HBE
D1,LED,LEDs:LED-0805,NA
P10,MISO,Wire_Pads:SolderWirePad_single_0-8mmDrill,NA
P9,MOSI,Wire_Pads:SolderWirePad_single_0-8mmDrill,NA
P7,PPM,Wire_Pads:SolderWirePad_single_0-8mmDrill,NA
P11,Reset,Wire_Pads:SolderWirePad_single_0-8mmDrill,NA
P12,SCK,Wire_Pads:SolderWirePad_single_0-8mmDrill,NA
P8,SS,Wire_Pads:SolderWirePad_single_0-8mmDrill,NA
P4,Sup,Wire_Pads:SolderWirePad_single_0-8mmDrill,NA
